title,authors,numPages,publicationDate,publisher,price
The Mother Tongue: English and How It Got That Way,Bill Bryson,270,9/28/1991,William Morrow Paperbacks,27.74
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728,9/25/2012,Ballantine Books,68.68
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,1184,10/21/2004,Houghton Mifflin Harcourt,80.18
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,398,9/5/2003,Houghton Mifflin Harcourt,48.5
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,1216,10/1/2002,Houghton Mifflin Harcourt,4.62
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,218,11/5/2003,Houghton Mifflin Harcourt,63.62
The Lord of the Rings: Complete Visual Companion,Jude Fisher,224,11/15/2004,Houghton Mifflin Harcourt,26.85
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,558,7/28/2005,Pragmatic Bookshelf,31.32
Hatchet (Brian's Saga  #1),Gary Paulsen,208,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,18.68
Hatchet: A Guide for Using "Hatchet" in the Classroom,Donna Ickes/Edward Sciranko/Keith Vasconcelles,48,8/28/1994,Teacher Created Resources,22.38
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,144,1/23/2001,Delacorte Press,93.57
Molly Hatchet - 5 of the Best,Molly Hatchet,56,6/10/2003,Cherry Lane Music Company,38.35
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,228,11/1/2005,The New Press,71.95
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,304,11/1/2005,Changeling Press,67.36
Changeling (Changeling  #1),Delia Sherman,256,8/17/2006,Viking Juvenile,87.59
The Changeling Sea,Patricia A. McKillip,137,4/14/2003,Firebird,47.93
The Changeling,Zilpha Keatley Snyder,228,6/8/2004,iUniverse,71.98
The Changeling,Kate Horsley,339,4/12/2005,Shambhala,20.82
The Changeling (Daughters of England  #15),Philippa Carr,369,8/28/1990,Ivy Books,93.91
The Known World,Edward P. Jones,388,8/29/2006,Amistad,41.33
The Known World,Edward P. Jones/Kevin R. Free,14,6/15/2004,HarperAudio,63.23
The Known World,Edward P. Jones,576,6/15/2004,Harper,46.94
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,334,5/15/2006,FT Press,9.38
Artesia: Adventures in the Known World,Mark Smylie,352,12/14/2005,Archaia,25.91
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,416,6/1/1982,Farrar  Straus and Giroux,68.79
Uncommon Carriers,John McPhee,248,5/16/2006,Farrar Straus Giroux,77.5
Heirs of General Practice,John McPhee,128,4/1/1986,Farrar  Straus and Giroux,86.74
The Control of Nature,John McPhee,288,9/1/1990,Farrar  Straus and Giroux,76.01
Annals of the Former World,John McPhee,720,1/6/1999,Farrar  Straus and Giroux,16.27
Coming Into the Country,John McPhee,448,4/1/1991,Farrar  Straus and Giroux,45.68
La Place de la Concorde Suisse,John McPhee,160,4/1/1994,Farrar  Straus and Giroux,2.98
Giving Good Weight,John McPhee,288,4/1/1994,Farrar  Straus and Giroux,30.73
Rising from the Plains,John McPhee,208,11/1/1987,Farrar  Straus and Giroux,31.34
The Heidi Chronicles,Wendy Wasserstein,81,3/1/2002,Dramatists Play Service,65.83
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,249,7/2/1991,Vintage,4.45
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,138,3/29/2006,Routledge,8.92
Simply Beautiful Beaded Jewelry,Heidi Boyd,128,3/14/2006,North Light Books,59.82
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,192,9/1/2003,Chosen Books,3.07
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,108,1/28/1997,Association for Supervision & Curriculum Development,95.63
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,352,11/15/2002,Kingfisher,95.11
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,192,11/15/2004,ASCD,53.6
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,192,4/28/2003,Sovereign World,19.95
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,832,10/16/2003,Workman Publishing Company,20.04
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,123,5/10/2004,One Hour Entertainment,92.8
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,128,8/19/2004,North Light Books,12.63
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,423,6/15/1987,Ace Books,91.19
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,436,7/1/1987,Ace Books,62.67
Dune Messiah (Dune Chronicles #2),Frank Herbert,331,7/15/1987,Ace Books,96.56
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,592,7/1/2004,Tor Books,72.59
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,480,4/16/1984,Putnam,91.93
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,426,8/29/2006,Tor Science Fiction,31.49
Heretics of Dune (Dune Chronicles #5),Frank Herbert,471,8/15/1987,Ace Books,56.92
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,192,6/12/2002,Houghton Mifflin Harcourt,10.13
The Power of One (The Power of One  #1),Bryce Courtenay,544,9/29/1996,Ballantine Books,3.02
The Power of One (The Power of One  #1),Bryce Courtenay,291,9/13/2005,Delacorte Books for Young Readers,73.28
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,256,11/1/2004,Thomas Nelson,17.31
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,205,5/19/2006,Wiley,18.32
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,240,2/7/2000,Heinemann Drama,33.29
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,336,5/3/2005,William Morrow Paperbacks,53.32
eBay for Dummies,Marsha Collier,386,10/30/2006,Wiley,58.72
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,260,1/24/2006,McGraw-Hill,95.97
Starting an eBay Business for Dummies,Marsha Collier,384,9/17/2004,Wiley,20.2
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,260,6/6/2006,Wiley,16.51
ebay Timesaving Techniques for Dummies,Marsha Collier,391,5/31/2004,Wiley,12.14
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,864,4/25/2005,Wiley,13.69
Ruby Cookbook,Lucas Carlson/Leonard Richardson,873,7/29/2006,O'Reilly Media,12.56
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,240,5/3/2005,Citadel,9.51
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,206,5/3/2005,Citadel,47.53
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,514,1/1/2007,O'Reilly Media,58.34
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,838,5/31/2004,Penguin Classics,37.43
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,960,11/5/2002,Signet,4.6
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,837,1/30/2003,Penguin Books,78.25
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,80,11/26/1965,Cliffs Notes,49.2
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,803,7/1/2003,Barnes & Noble Classics,63.28
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,752,11/23/2004,Dover Publications,78.16
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,803,8/26/2004,Barnes & Noble,65.65
Dinner with Anna Karenina,Gloria Goldreich,360,1/28/2006,Mira Books,65.55
Tolstoy: Anna Karenina,Anthony Thorlby,128,11/26/1987,Cambridge University Press,36.52
Untouchable,Mulk Raj Anand/E.M. Forster,160,7/3/1990,Penguin Books,46.89
The Untouchable,John Banville,367,6/30/1998,Vintage,7.82
The Untouchables,Eliot Ness/Oscar Fraley,256,2/1/1996,Buccaneer Books,50.92
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,320,9/27/2005,Scribner,58.18
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,100,1/28/1995,Clarity Press,4.75
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,224,12/20/2000,Rowman & Littlefield Publishers,51.23
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,216,9/22/2003,Pearson,33.41
A Wrinkle in Time: A Guide for Using "A Wrinkle in Time" in the Classroom,John Carratello/Patty Carratello/Theresa Wright,48,9/28/1991,Teacher Created Resources,26.95
Wrinkles in Time,George Smoot/Keay Davidson,360,10/1/1994,Harper Perennial,55.36
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,250,5/1/2002,EMC/Paradigm Publishing,76.33
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,32,1/1/2002,Teaching Resources,3.74
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,205,6/1/1984,Turtleback Books,52.56
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,367,6/1/1994,Little  Brown Book Group,79.84
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,352,1/3/2006,William Morrow,33.23
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,320,11/1/2005,Atria Books,78.24
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,331,3/7/2006,Tor Books,34.42
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,244,8/10/2004,Vintage Crime/Black Lizard,63.96
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,215,3/8/2005,Vintage Crime/Black Lizard,72.27
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,191,8/10/2004,Vintage Crime/Black Lizard,63.2
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,144,10/3/1990,Vintage,88.23
I am Charlotte Simmons,Tom Wolfe,738,8/30/2005,Picador USA,82.57
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,48,10/1/2001,Sterling,21.95
The Puffin Book of Nonsense Verse,Quentin Blake,287,10/3/1996,Puffin,52.58
Henry Miller on Writing,Henry Miller/Thomas H. Moore,217,2/1/1964,New Directions Publishing,47.22
Quiet Days in Clichy,Henry Miller,154,1/13/1994,Grove Press,79.12
Tropic of Cancer,Henry Miller/Jiří Níl,318,1/6/1994,Grove Press,1.79
Tropic of Capricorn,Henry Miller,348,1/13/1994,Grove Press,43.78
Nexus (The Rosy Crucifixion  #3),Henry Miller,316,1/13/1994,Grove Press,54.57
Sexus (The Rosy Crucifixion  #1),Henry Miller,506,1/12/1994,Grove Press,77.01
The Air-Conditioned Nightmare,Henry Miller,292,1/17/1970,New Directions,42.12
The Portrait of a Lady,Henry James/Patricia Crick,797,9/30/2003,Penguin Classics,51.39
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,635,1/16/2004,Barnes  Noble Classics,56.76
Writing,Marguerite Duras,91,5/6/1999,Brookline Books,59.12
The War,Marguerite Duras/Barbara Bray,192,8/1/1994,The New Press,1.84
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,181,3/12/1986,Pantheon,6.37
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,178,7/1/1999,One World (UK),70.58
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,464,4/1/1998,Interlink Publishing Group,25.97
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,102,1/1/1998,Penguin Books,46.76
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,216,2/21/1995,Knopf,33.19
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,132,3/3/2003,Citadel,61.13
Sand and Foam,Kahlil Gibran/جبران خليل جبران,100,6/14/2011,Knopf,69
Treasure Island,Robert Louis Stevenson,311,9/15/2001,Kingfisher,9.92
Treasure Island,Robert Louis Stevenson/Scott McKowen,213,10/1/2004,Sterling Children's Books,13.6
Treasure Island,Robert Louis Stevenson,245,6/1/2005,Simon & Schuster,62.37
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,64,7/1/2003,Atheneum Books for Young Readers,90.85
Treasure Island,Robert Louis Stevenson/Milo Winter,272,9/3/2002,Gramercy Books,25.37
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,232,1/31/2006,Abdo Publishing Company,10.27
100 Years of Lynchings,Ralph Ginzburg,270,11/22/1996,Black Classic Press,81.91
Cien años de soledad,Gabriel García Márquez,448,1/1/1990,French & European,15.25
On Beyond Zebra!,Dr. Seuss,64,9/12/1955,Random House Books for Young Readers,66.2
The Wedding Clause,Debbie Raleigh,256,6/7/2005,Zebra,68.79
The Zebra Wall,Kevin Henkes,147,2/15/2005,Greenwillow Books,37.88
El perfume: Historia de un asesino,Patrick Süskind,239,6/1/2002,Booket,85.46
The Door Into Summer,Robert A. Heinlein,304,6/17/1997,Del Rey,9.75
Stranger in a Strange Land,Robert A. Heinlein,528,10/1/1991,Ace,44.59
To Sail Beyond the Sunset,Robert A. Heinlein,434,6/1/1988,Ace Books,45.38
Job: A Comedy of Justice,Robert A. Heinlein,439,10/12/1985,Del Rey,16.99
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,256,8/8/2006,Tor Books,12.6
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,307,2/15/1991,Pocket Books,44.15
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,298,4/26/2005,Del Rey,26.91
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,368,12/27/2005,Del Rey,7.27
Douglas Adams's Starship Titanic,Terry Jones,256,10/27/1998,Ballantine Books,47.18
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,336,7/1/2003,Turtleback Books,25.89
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,72,1/12/2011,Samuel French  Inc.,82.45
On Bullshit,Harry G. Frankfurt,67,1/30/2005,Princeton University Press,95.96
Another Bullshit Night in Suck City,Nick Flynn,347,9/12/2005,W. W. Norton & Company,33.45
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,317,6/12/1993,Simon & Schuster,74.5
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,32,2/2/1998,HMH Books for Young Readers,4.56
Underworld,Don DeLillo,827,7/9/1998,Scribner,26.66
Libra,Don DeLillo,480,5/1/1991,Penguin,63.49
Americana,Don DeLillo,377,7/6/1989,Penguin Books,61.42
Running Dog,Don DeLillo,256,7/17/1989,Vintage Contemporaries,80.66
Cosmopolis,Don DeLillo,224,4/6/2004,Scribner,36.95
Great Jones Street,Don DeLillo,272,1/1/1994,Penguin Books,75.9
The Names,Don DeLillo,339,7/17/1989,Vintage,9.35
Against the Day,Thomas Pynchon,1085,11/21/2006,Penguin Press,22.32
V.,Thomas Pynchon,547,7/5/2005,Harper Perennial Modern Classics,48.82
The Crying of Lot 49,Thomas Pynchon,152,4/1/1999,Harper Perennial,60.6
Gravity's Rainbow,Thomas Pynchon,784,1/1/2000,Penguin Books,73.75
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,773,1/3/2004,Picador USA,77.51
Vineland,Thomas Pynchon,385,9/1/1997,Penguin Classics,62.79
Gravity's Rainbow,Thomas Pynchon,776,10/31/2006,Penguin Books,32.78
Slow Learner: Early Stories,Thomas Pynchon,193,4/30/1985,Back Bay Books,1.71
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,352,8/29/1996,Penguin Classics,86.88
The Year of Magical Thinking,Joan Didion,227,10/4/2005,Knopf Publishing Group,67.43
The White Album,Joan Didion,222,10/1/1990,Farrar Straus Giroux,27.81
A Book of Common Prayer,Joan Didion,272,4/11/1995,Vintage International,39.3
Where I Was From,Joan Didion,240,9/14/2004,Vintage,4.15
Slouching Towards Bethlehem,Joan Didion,238,10/1/1990,Farrar Straus Giroux,28.48
Democracy,Joan Didion,234,4/25/1995,Vintage International,63.75
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,1122,10/17/2006,Everyman's Library,90.46
Play It As It Lays,Joan Didion/David Thomson,231,11/15/2005,Farrar  Straus and Giroux,90.65
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,308,3/28/2006,Penguin Classics,13.63
City of Glass (The New York Trilogy  #1),Paul Auster,203,4/7/1987,Penguin Books,69.75
Ghosts (The New York Trilogy  #2),Paul Auster,96,7/7/1987,Penguin Books,59.32
The Locked Room (The New York Trilogy  #3),Paul Auster,179,11/1/1986,Sun and Moon Press,92.45
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,256,1/1/1995,Sky Books (NY),77.97
The Brooklyn Follies,Paul Auster,306,10/17/2006,Picador,33.1
Moon Palace,Paul Auster,320,4/1/1990,Penguin Books,73.42
The Music of Chance,Paul Auster,217,12/1/1991,Penguin Books,53.25
Travels in the Scriptorium,Paul Auster,145,1/23/2007,Henry Holt & Company,35.98
Leviathan,Paul Auster,275,9/1/1993,Penguin Books,91.82
The Red Notebook: True Stories,Paul Auster,104,6/17/2002,New Directions,74.99
Timbuktu / Leviathan / Moon Palace,Paul Auster,1075,11/7/2002,Actes Sud,10.48
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,608,12/27/2005,Penguin Books Ltd. (London),50.56
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,211,2/1/2006,Business Plus,48.92
Collapse of Complex Societies,Joseph A. Tainter,262,3/29/1990,Cambridge University Press,51
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,544,8/7/2001,Simon  Schuster,29.09
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,272,1/29/2002,Ballantine Books,98.22
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,576,9/17/1998,W. W. Norton  Company,19.49
My Inventions,Nikola Tesla,88,5/17/2006,Filiquarian Publishing  LLC.,72.01
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,542,2/1/2001,Citadel,92.86
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,144,10/1/1994,Lerner Publications,24.42
Tesla Papers,Nikola Tesla/David Hatcher Childress,100,12/1/2000,Adventures Unlimited Press,87.78
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,249,6/27/2006,Harlequin Blaze,89.79
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,828,10/11/2004,Pragmatic Bookshelf,34.09
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,112,6/13/2000,Cliffs Notes,39.28
Lord of the Flies,William Golding,6,10/11/2005,Listening Library (Audio),71.47
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,397,9/12/2006,Random House,52.91
We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,216,1/1/1989,HarperCollins Publishers,61.65
The Lovely Bones,Alice Sebold,328,6/1/2003,Picador,69.95
The Lovely Bones,Alice Sebold,532,4/1/2004,Large Print Press,47.21
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,224,5/13/1990,Ballantine Books,46.79
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,296,2/17/2005,Peachpit Press,35.31
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,456,8/1/2006,Peachpit Press,1.64
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,575,5/15/2005,Taschen,53.76
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,245,6/13/2006,Scribner,22.04
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,272,7/2/2004,Scribner,73.82
Vice (V  #8),Jane Feather,419,5/2/1996,Bantam,20.58
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,540,4/25/2006,HarperTorch,20.39
Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,32,4/1/2005,Walker & Company,39.26
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,408,11/19/1990,William Morrow Paperbacks,90.47
Motorcycle Basics Techbook,John Harold Haynes,222,7/5/2002,Haynes Manuals N. America  Inc.,96.18
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,191,9/1/2004,Rockport Publishers,21.14
The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,304,4/1/2003,Signet Classics,58.58
War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,1392,6/25/1998,Oxford University Press,7.23
The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,352,9/8/2006,Dover Publications,54.8
Atlas Shrugged,Ayn Rand/Leonard Peikoff,1168,8/1/1999,Plume,45.09
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,224,12/1/1963,Signet Book,57.63
The Fountainhead,Ayn Rand,752,4/26/2005,Dutton,78.02
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,176,11/1/1964,Signet,3.29
Anthem,Ayn Rand,105,12/1/1999,NAL,75.66
We the Living,Ayn Rand/Leonard Peikoff,464,1/1/1996,Signet,68.49
Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,340,7/15/1986,Signet,84.04
Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,681,2/1/1997,NAL,6.42
Sailing for Dummies,J.J. Isler/Peter Isler,416,6/1/2006,For Dummies,35.25
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,368,7/25/2006,Delacorte Press,95.42
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,192,9/17/2002,Random House Trade Paperbacks,6.1
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,286,4/1/2004,Lyons Press,12.91
Natural Cures "They" Don't Want You to Know about,Kevin Trudeau,571,1/1/2004,Alliance Publishing,92.22
The Natural,Bernard Malamud/Kevin Baker,231,7/7/2003,Farrar Straus Giroux,64.54
Digging to America,Anne Tyler,277,5/2/2006,Alfred A. Knopf,38.44
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,826,1/21/2004,Bedford Books,76.78
Modern Latin America,Thomas E. Skidmore/Peter H. Smith,528,10/7/2004,Oxford University Press  USA,63.25
The Plot Against America,Philip Roth,391,9/27/2005,Vintage International,56.72
Naked Pictures of Famous People,Jon   Stewart,164,9/22/1999,Dey Street Books,78.76
Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,352,5/13/2008,Harper Perennial Modern Classics,0.5
Crónica de una muerte anunciada,Gabriel García Márquez,118,10/14/2003,Vintage Espanol,14.91
Cien años de soledad,Gabriel García Márquez,496,2/7/2006,Plaza y Janes,56.46
Del amor y otros demonios,Gabriel García Márquez,176,2/7/2006,Plaza y Janes,38.07
Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,533,10/12/2004,Vintage,71.96
Memoria de mis putas tristes,Gabriel García Márquez,112,10/19/2004,Vintage Espanol,18
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,425,9/2/2004,Vintage Books USA,26.52
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,288,5/15/2005,Wisdom Publications,95.52
The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,363,4/1/2006,Rough Guides,59.08
Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,128,9/1/2004,Lonely Planet,86.49
